T_amb_set,mode,actual_charge,total_charge,P_suc[bar],T_suc[degC],P_dis[bar],T_dis[degC],P_gc_mid[bar],T_gc_mid[degC],P_gc_out[bar],T_gc_out[degC],P_eva_in[bar],T_eva_in[degC],P_eva_out[bar],T_eva_out[degC],W_comp[kW],Q_s1[kW],Q_s2[kW],Q_total[kW],COP,m_dot[kg/s],T_air_in[degC],T_mid[degC],T_air_out[degC],V_air_indoor[kg/min],T_amb[degC],V_air_outdoor[m/s],h_suc[kJ/kg],h_dis[kJ/kg],h_gc_mid[kJ/kg],h_gc_out[kJ/kg],h_eva_in[kJ/kg],h_eva_out[kJ/kg],acc_charge
-10,0,299.657316,300,0.2335165192555782,-40.9680186157733,28.5728777780512,497.7519843911925,28.5605744344942,-7.54493898813007,28.55578346685692,-9.999897671322628,0.4580303561463504,-9.365648199333236,0.3406599299093961,-10.03073182081965,0.3642006769636266,0.3183612501019326,0.0020713171572764,0.3204325672592091,0.8798241945366051,0.0003674451665288,-10,-8.719129323437642,-5.15593707604063,6,-10,2.5,453.9504715526218,1048.65255524716,182.2341638734848,176.5970856208471,478.7175215486185,478.3244183967626,0.342684
-10,0,349.652615,350,0.2369518956911976,-41.18876428461934,29.44961563322788,490.4546559448252,29.43744267812502,-6.1912887764625,29.43324655173411,-10.00000108369613,0.4631155821909736,-9.366849258548823,0.3453208616778482,-10.03084903592008,0.3706807984340085,0.313029360935421,0.0126237678639871,0.3256531287994081,0.8785271051944803,0.0003724302120671,-10,-9.80875140183025,-5.066729687841871,6,-10,2.5,453.77331263487,1050.954937149073,210.4501907752321,176.5545307160732,478.7102255660549,478.3185034158857,0.347385
-10,0,386.4266,400,11.85821086741859,-28.02119077512947,83.8607274875163,149.797660680927,83.76022970023274,38.85674223842125,83.6449453411366,-0.2026630762586592,12.78204144704665,-33.22506268222742,12.51165786621329,-10.11263146651731,1.630535372507787,1.781413704175491,1.546247566848352,3.327661271023844,2.040839669676011,0.0086484048034319,-10,13.9852462254849,40.84225695688849,6,-10,2.5,444.2828492940127,580.6517060772914,374.6699389578139,195.8800231302438,434.1706687646225,461.4510765453205,13.5734
-10,0,422.5444,450,20.78992103675304,-16.71817211710209,91.0000000369544,109.3844521701243,90.84194032538822,47.83342575511216,90.58540077443595,7.494888400272146,21.78012477418923,-16.65037452031368,21.53397774739444,-13.04776029278867,1.42189281139674,1.578768485308312,2.44077246159878,4.019540946907092,2.826894485076308,0.0128437908181793,-10,26.45344325559773,50.00000011604669,6,-10,2.5,438.9969797625565,525.9452426537443,403.0244860283959,212.9892778759821,276.4083174820636,442.1819896604962,27.4556
-10,0,425.2915,500,21.01679781924719,-17.64884377531362,91.0000000000088,106.6790278815945,90.83960728037678,47.91032375190248,90.57485512049236,7.969789108690634,22.00439787118372,-16.30830807768189,21.7640499633353,-16.67407208402119,1.411050478331889,1.550457494293963,2.469083133260132,4.019540627554095,2.848615757748016,0.0130437770999419,-10,26.87595006903905,50.00000000007424,6,-10,2.5,437.2656585981837,522.2637762521829,403.3980916874828,214.1060550065497,270.3216360752435,436.8872525730806,74.7085
-10,0,425.292,550,21.01679781928045,-17.64884377525976,90.99999999986684,106.6790278813276,90.83960728023362,47.91032375190861,90.57485512034732,7.969789108766406,22.00439787121705,-16.30830807763124,21.76404996336868,-16.67407208459531,1.411050521959356,1.550457542227115,2.469083209612647,4.019540751839761,2.848615757753528,0.0130437775032795,-10,26.87595006912409,50.00000000009658,6,-10,2.5,437.2656585981809,522.2637762519195,403.3980916879738,214.1060550067396,270.3216360751052,436.8872525722259,124.708
-10,0,425.292,600,21.01679781923775,-17.64884377532692,90.99999999997308,106.6790278815849,90.8396072803411,47.91032375188093,90.5748551204571,7.96978910866619,22.00439787117394,-16.30830807769678,21.7640499633256,-16.67407208368024,1.411050483179798,1.550457499620651,2.469083141743719,4.019540641364371,2.848615757748333,0.0130437771447547,-10,26.87595006901637,50.00000000005599,6,-10,2.5,437.265658598188,522.2637762521955,403.3980916874959,214.1060550064944,270.3216360755583,436.887252573565,174.708
-10,0,425.292,650,21.01679781923812,-17.64884377532786,90.99999999997796,106.679027881589,90.839607280346,47.91032375187848,90.57485512046208,7.969789108661359,22.00439787117412,-16.30830807769649,21.76404996332583,-16.67407208368411,1.411050483179921,1.550457499621067,2.469083141743615,4.019540641364681,2.848615757748305,0.013043777144755,-10,26.87595006901068,50.00000000005326,6,-10,2.5,437.2656585981866,522.2637762521974,403.3980916874688,214.1060550064798,270.3216360755437,436.8872525735592,224.708
-10,0,425.292,700,21.01679781923892,-17.64884377532618,90.99999999996407,106.6790278815721,90.83960728033206,47.91032375188132,90.57485512044792,7.96978910867864,22.00439787117521,-16.30830807769479,21.76404996332685,-16.67407208371014,1.411050483179569,1.550457499620052,2.469083141743756,4.019540641363808,2.848615757748396,0.0130437771447543,-10,26.87595006902257,50.00000000005724,6,-10,2.5,437.2656585981862,522.2637762521847,403.3980916875281,214.1060550065189,270.3216360755498,436.8872525735226,274.708
-10,0,425.292,750,21.01679781923826,-17.64884377532596,90.99999999994596,106.6790278815549,90.83960728031388,47.91032375187774,90.5748551204297,7.969789108688189,22.00439787117471,-16.30830807769559,21.76404996332631,-16.67407208369002,1.411050484391209,1.550457500951016,2.469083143864588,4.019540644815605,2.848615757748608,0.0130437771559572,-10,26.87595006902887,50.00000000005451,6,-10,2.5,437.265658598188,522.2637762521738,403.398091687569,214.1060550065436,270.3216360755921,436.8872525735509,324.708
